commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang
El Argoub	1.08	2.9	10.0	0.9711923179514537	0.9680365296803652	0.745042492917847	0.925	Bon	250
Imintanoute	1.89	5.4	3.2	0.9279807948786343	0.910958904109589	0.9376770538243626	0.9248	Bon	251
Sidi Slimane Echcharaa	1.93	5.5	2.9	0.9258468925046679	0.908675799086758	0.9461756373937678	0.9248	Bon	251
Machraa El Ain	1.75	4.8	4.7	0.9354494531875167	0.9246575342465754	0.8951841359773371	0.9242	Bon	253
Gheris El Ouloui	1.08	2.9	10.4	0.9711923179514537	0.9680365296803652	0.7337110481586402	0.9227	Bon	254
Aknoul	1.91	5.3	3.7	0.9269138436916511	0.91324200913242	0.9235127478753541	0.9221	Bon	255
Oulad M'rah	1.91	5.2	3.9	0.9269138436916511	0.9155251141552512	0.9178470254957507	0.9217	Bon	256
Ait Sedrate Jebel Soufla	2.02	5.4	3.2	0.9210456121632435	0.910958904109589	0.9376770538243626	0.9213	Bon	257
Sidi Rahal Chatai	1.31	3.6	8.8	0.958922379301147	0.952054794520548	0.7790368271954674	0.9209	Bon	258
Ouled Ayad	1.77	4.9	5.1	0.9343825020005335	0.9223744292237442	0.8838526912181304	0.9207	Bon	259
Oulad Dahou	1.98	5.5	3.4	0.9231795145372099	0.908675799086758	0.9320113314447592	0.9206	Bon	260
Hjar Ennhal	1.71	4.6	5.8	0.9375833555614831	0.9292237442922374	0.8640226628895185	0.9204	Bon	261
Boukraa	1.56	4.4	6.8	0.945585489463857	0.9337899543378996	0.8356940509915014	0.9201	Bon	262
Dar Gueddari	1.69	4.6	6.0	0.9386503067484663	0.9292237442922374	0.858356940509915	0.9198	Bon	263
Majjate	1.71	4.5	6.1	0.9375833555614831	0.9315068493150684	0.8555240793201133	0.9193	Bon	264
Al Bahraoyine	1.79	4.8	5.5	0.9333155508135503	0.9246575342465754	0.8725212464589235	0.9186	Bon	265
Issen	1.11	3.1	10.8	0.9695918911709789	0.9634703196347032	0.7223796033994334	0.9183	Bon	266
Taourirt	1.98	5.6	3.7	0.9231795145372099	0.906392694063927	0.9235127478753541	0.9182	Bon	267
Sidi Slimane	1.79	4.6	5.9	0.9333155508135503	0.9292237442922374	0.8611898016997167	0.9177	Bon	268
Oumazza	1.72	4.5	6.4	0.9370498799679915	0.9315068493150684	0.8470254957507082	0.9174	Bon	269
Boumia	2.07	5.7	3.5	0.9183782341957856	0.9041095890410958	0.9291784702549575	0.9163	Bon	270
Taounate	1.98	5.4	4.3	0.9231795145372099	0.910958904109589	0.9065155807365439	0.9162	Bon	271
Sidi Taibi	1.54	4.1	8.0	0.9466524406508402	0.9406392694063928	0.8016997167138811	0.9159	Bon	272
Mallalienne	1.59	4.4	7.6	0.9439850626833822	0.9337899543378996	0.8130311614730878	0.9147	Bon	273
Fdalate	1.44	3.9	9.1	0.9519871965857563	0.9452054794520548	0.7705382436260624	0.9137	Bon	274
Bni Ansar	2.0	5.7	4.3	0.9221125633502267	0.9041095890410958	0.9065155807365439	0.9136	Bon	275
