commune_norm	commune	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite_x	Indice_accessibilite_y	Indice_transport	indice_densite_routiere_x	Indice_POI_x	densite_norm	Indice_POI_y	indice_densite_routiere_y	indice_transport	Indice_accessibilite	densite
aitoumdis	Ait Oumdis	32.5	11.3	0.3489		0.2988	0.6	0.6	0.0	1.19	0.04	0.0244926522043387	0.04	1.19	0.0	0.6	13908.0
aitoumelbekht	Ait Oum El Bekht	23.7	17.0	0.5312		0.4587	1.34	1.34	0.0	2.67	0.04	0.0138371586760747	0.04	2.67	0.0	1.34	7863.0
aitouqabli	Ait Ouqabli	30.5	12.6	0.5378		0.3943	1.4	1.4	0.0	2.75	0.15	0.0059790627043624	0.15	2.75	0.0	1.4	3405.0
aitouribel	Ait Ouribel	26.1	17.0	0.6854		0.5504	4.82	4.82	0.0	9.51	0.33	0.0165023540796703	0.33	9.51	0.0	4.82	9375.0
aitourir	Ait Ourir	28.5	11.0	0.9619		0.7819	7.44	7.44	6.49	10.39	1.47	0.100161639165681	1.47	10.39	6.49	7.44	56836.0
aitsaadelli	Ait Saadelli	25.8	15.3	0.6631		0.5773	0.46	0.46	0.0	0.93	0.0	0.0046112110951097	0.0	0.93	0.0	0.46	2629.0
aitsaghrouchen	Ait Saghrouchen	26.5	17.6	0.7073		0.5508	1.69	1.69	0.0	3.37	0.04	0.0266642929035646	0.04	3.37	0.0	1.69	15140.0
aitsaid	Ait Said	29.8	18.1	0.4749		0.3016	2.28	2.28	0.0	4.57	0.0	0.0106008499717087	0.0	4.57	0.0	2.28	6027.0
aitsebaalajrouf	Ait Sebaa Lajrouf	30.0	12.0	0.7414		0.5824	1.64	1.64	0.0	3.17	0.26	0.0329412511259216	0.26	3.17	0.0	1.64	18701.0
aitsedratejbeleloulia	Ait Sedrate Jbel El Oulia	31.3	12.8	0.8064		0.6164	0.37	0.37	0.0	0.55	0.48	0.0087517825256956	0.48	0.55	0.0	0.37	4978.0
aitsedratejbelelsoufla							0.87	0.87	0.0	0.7	2.61		2.61	0.7	0.0	0.87	
